target_gene	disease_area	axis_order	assoc_year	color	fih_year	drugs	n_trls	n_i	n_ii	n_iii	n_o	py	py_i	py_ii	py_iii	py_o	n_prop	py_prop	y
ACE	alzheimer	1	1999	#880088	2009	perindopril, ramipril	2	0	1	0	1	31.468856947296374	0	0	0	31.468856947296374	0.01282051282051282	2.0384066023518114e-4	16
APOE	alzheimer	1	1993	#880088	2019	aavrh.10hpoe2	1	1	0	0	0	0	0	0	0	0	0.00641025641025641	0	15
APP	alzheimer	1	1991	#880088	2001	aab-001, AAB-003, abvac40, abvac41, vanutide cridificar, lecanemab, affitope ad02, ad-35, aducanumab, ad01, ad03, an1792, anti-abeta antibody, bapineuzumab, lu af20513, crenezumab, gantenerumab, gsk933776, khk6640, solanezumab, ly2599666, donanemab, ly3372993, medi1814, nic5-15, ponezumab, posiphen, sar228810, ub-311, v950	100	40	36	24	0	134138.9596167009	6933.98494182067	42370.81177275839	84834.16290212184	0	0.6410256410256411	0.8688899675422677	14
CD33	alzheimer	1	2011	#880088	2019	al003	1	1	0	0	0	0	0	0	0	0	0.00641025641025641	0	13
PSEN1*	alzheimer	1	1995	#880088	2005	avagacestat, chf 5074, begacestat, semagacestat, flurizan	13	1	6	6	0	17220.971937029433	7.121149897330596	1983.6960985626283	15230.154688569473	0	0.08333333333333333	0.11154946922332347	12
TREM2	alzheimer	1	2013	#880088	2018	al002	1	1	0	0	0	0	0	0	0	0	0.00641025641025641	0	11
BST1	parkinson	2	2009	#FF6600	2019	niacinamide, nicotinamide	3	0	0	0	3	27.761806981519506	0	0	0	27.761806981519506	0.019230769230769232	1.798281098646891e-4	10
GBA	parkinson	2	2004	#FF6600	2019	pr001a	1	1	0	0	0	0	0	0	0	0	0.00641025641025641	0	9
GCH1	parkinson	2	2014	#FF6600	2008	oxb-102, prosavin	3	3	0	0	0	68.74743326488706	68.74743326488706	0	0	0	0.019230769230769232	4.4531398803770647e-4	8
LRRK2	parkinson	2	2004	#FF6600	2018	biib094, dnl151, dnl201	3	3	0	0	0	29.138945927446954	29.138945927446954	0	0	0	0.019230769230769232	1.887485772475233e-4	7
SCN2A	parkinson	2	2017	#FF6600	2013	zonisamide	2	0	1	0	1	0	0	0	0	0	0.01282051282051282	0	6
SNCA	parkinson	2	1996	#FF6600	2012	abbv-0805, affitope pd01a, cinpanemab, pd03a, PD03A, lu af82422, prasinezumab, ub-312	12	10	2	0	0	1585.593429158111	433.1991786447639	1152.394250513347	0	0	0.07692307692307693	0.010270738845248158	5
C9orf72	ftd/als	3	2011	#008888	2018	biib078	1	1	0	0	0	0	0	0	0	0	0.00641025641025641	0	4
MAPT	ftd/als	3	1998	#008888	2013	lmtm	1	0	0	1	0	605.9411362080766	0	0	605.9411362080766	0	0.00641025641025641	0.0039250056484470405	3
SOD1	ftd/als	3	1993	#008888	2010	ap-101, tofersen	4	2	0	2	0	65.95482546201232	65.95482546201232	0	0	0	0.02564102564102564	4.2722476988563715e-4	2
HTT	huntington	4	1993	#66FF00	2015	isis 443139, raav5-mihtt, rg6042, wve-120101, wve-120102	8	5	1	2	0	605.1471594798084	519.5071868583162	85.63997262149213	0	0	0.05128205128205128	0.003919862635443021	1
